Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
643 Edgewood Avenue Roadway Stabilization,$ 578060,RWR Construction,MARIN,2025-08-01,,Site Development,Marin County Public Works Department,4154737266.0,"Alterations, New Project",643 Edgewood Ave,MILL VALLEY,4154575658.0,200 Gary Pl,San Rafael,,MARIN,,Design-Bid-Build,N,https://rwr-inc.com/,,,,
University Avenue Safety Enhancements,$ 500000 - $ 749999,,SAN MATEO,2025-09-01,,Roadway Lighting,"East Palo Alto, City of",6503888921.0,"Alterations, New Project",,Palo Alto,,,,,,,Design-Bid-Build,N,,,,,
905 N Capitol Apartments/Townhomes w/ Parking Garage,$ 92000000,Hanover RS Construction LLC,SANTA CLARA,2025-07-01,2027-07-01,Apartments/Condominiums 4  Stories,,,New Project,905 N Capitol Ave,SAN JOSE,7135801175.0,5847 San Felipe St,Houston,,HARRIS,info@hanoverco.com,,N,,REACH OUT,,,
Citywide Bicycle and Pedestrian Regional Street Crossing,$ 572397,"Golden Bay Construction, Inc.",ALAMEDA,2025-08-01,2025-11-01,Sidewalk/Parking Lot,City of Dublin - Public Works,9258336630.0,"Alterations, New Project",Various Locations,DUBLIN,5107832960.0,3826 Depot Rd,Hayward,,ALAMEDA,johnny@gbayinc.com,Design-Bid-Build,N,http://www.goldenbayconstruction.com/,,,,
2025 Annual Street Resurfacing IQC,$ 3300772,Pavement Coatings Co.,ALAMEDA,2025-05-01,2025-10-01,Paving,City of Dublin - Public Works,9258336630.0,"Alterations, New Project",,DUBLIN,9166852204.0,2150 Bell Ave Ste 125,Sacramento,Rick Arias,SACRAMENTO,rarias@pavementcoatings.com,Design-Bid-Build,N,http://www.pavementrecycling.com,,,,
House,$ 1900000,,MARIN,,,Sale/Spec Homes,Bic Const Inc,,New Project,3820 Paradise Dr Lot # Lot 4,Tiburon,,,,,,,,,,,,,
Redwood Highway Frontage Road Rule 20A,$ 1591268,St. Francis Electric LLC,MARIN,2025-08-01,,Power Lines,Marin County Public Works Department,4154737877.0,"Alterations, New Project",Redwood Highway Frontage Rd,MILL VALLEY,5106390639.0,975 Carden St,San Leandro,,ALAMEDA,maintenance@sfe-inc.com,Design-Bid-Build,N,https://www.stfranciselectric.com/,,,,
Airway Self Storage,$ 5000000 - $ 9999999,Gordon Wong,SONOMA,2025-07-01,,Warehouse,Christo & Tony Kasaris,6502918208.0,New Project,3383 Airway Dr,SANTA ROSA,5104646493.0,300 Lakeside Dr,Oakland,,ALAMEDA,,,N,,,,,
RFQ/SUBS: UC Berkeley Bancroft-Fulton Student Housing,$ 109332248,,ALAMEDA,2025-11-01,2028-11-01,Dormitory,University of California Berkeley,5106426273.0,New Project,2200 Bancroft Way,BERKELEY,,,,,,,Construction Management at Risk,N,,,,,
Dunn Main House Rehabilitation,$ 1000000 - $ 5000000,,MARIN,2025-08-01,,Custom Homes,US National Park Service,4158589668.0,New Project,20701 Shoreline Hwy,MARSHALL,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 509222,,SANTA CLARA,,,Sale/Spec Homes,A And C Consulting Svcs Inc,,New Project,1679 Zinnia Ln Lot # Lot A,San Jose,,,,,,,,,,,,,
House,$ 645263,,SANTA CLARA,,,Sale/Spec Homes,Sbi Bldrs Inc,,New Project,6262 Evangeline Ct Lot # Lot 322,San Jose,,,,,,,,,,,,,
I-580 WB HOV Lane Extension,$ 1000000 - $ 2999999,,SAN FRANCISCO,2025-10-01,2026-05-01,Paving,Metropolitan Transportation Commission (MTC),4157786651.0,"Additions, Alterations, New Project",Various Locations,SAN FRANCISCO,,,,,,,Design-Bid-Build,N,,,,,
Napa County - East Roads Paving Improvements,$ 3391363,Argonaut Constructors,NAPA,2025-08-01,,Paving,County of Napa,7072534406.0,"Alterations, New Project",Circle Oaks Dr Various Locations,NAPA,7075424862.0,360 Sutton Pl Po Box 639,Santa Rosa,,SONOMA,daves@argonautconstructors.com,Design-Bid-Build,N,http://argonautconstructors.com/,,,,
Hyatt Place (Hayward CA),$ 15000000 - $ 24999999,,ALAMEDA,2025-09-01,,Hotel/Motel,"Mahabal Hospitality, LLC",2098344577.0,New Project,1164 W A St,HAYWARD,,,,,,,Design-Bid-Build,N,,REACH OUT,,,
2025 ADA Curb Ramps Improvements,$ 543486,Villalobos & Associates Inc.,SANTA CLARA,2025-08-01,,Sidewalk/Parking Lot,City of Santa Clara,4086153048.0,"Alterations, New Project",Laurie Ave & Haig St Various Locations,SANTA CLARA,4083550705.0,645 Rucker Ave,Gilroy,,SANTA CLARA,,Design-Bid-Build,N,,,,,
CA/DOT: Linne Road Plain Concrete Pavement Installation,$ 2560558,,SAN JOAQUIN,2025-09-01,,Paving,State of California Department of Transportation,9166542852.0,New Project,W Linne Rd,TRACY,,,,,,,Design-Bid-Build,N,,,,,
RFP/CM: Hopper Ave Corridor Fire Recovery Improvements,$ 1000000 - $ 2999999,,SONOMA,,2028-07-01,Paving,City of Santa Rosa,7075433864.0,"Alterations, New Project",Hopper Ave,SANTA ROSA,,,,,,,Construction Management at Risk,N,,,,,
Dental Expansion and Relocation,$ 18616665,Strategic Industry,SOLANO,2025-06-01,,Hospital,Department of Veterans Affairs Medical Center,2164478300.0,New Project,103 Bodin Cir,FAIRFIELD,5594199481.0,1440 Draper St Ste C,Kingsburg,,FRESNO,jmiller@strategicindustry.us,Design-Bid-Build,Y,https://www.strategicindustry.us,,,,
Mt Veeder Road MPM 3.50 Improvements REBID,$ 1520049,"Maggiora & Ghilotti, Inc.",NAPA,2025-08-01,,Paving,Napa County Dept of Public Works,7072534351.0,"Alterations, New Project",Mt Veeder Rd,NAPA,4154598640.0,555 Du Bois St,San Rafael,Mike Tronstad,MARIN,mike@maggiora-ghilotti.com,Design-Bid-Build,N,http://www.maggiora-ghilotti.com/,,,,
Valley Avenue Soundwall Replacement,$ 1721863,,ALAMEDA,2025-09-01,,Site Development,City of Pleasanton,9259315644.0,"Alterations, New Project",Valley Ave Blackbird Dr to Greenwood Rd,PLEASANTON,,,,,,,Design-Bid-Build,N,,,,,
SVCW Biogas Utilization GCS Installation,$ 5874000,C. Overaa & Co.,SAN MATEO,2025-08-01,,Sewage Treatment Plant,Silicon Valley Clean Water (formerly SBSA),6505917121.0,New Project,1400 Radio Rd,REDWOOD CITY,5102340926.0,200 Parr Blvd,Richmond,,CONTRA COSTA,bids@overaa.com,Design-Bid-Build,Y,http://www.overaa.com,,,,
New Residential Building,$ 7439620,,CONTRA COSTA,2025-04-01,,Sale/Spec Homes,The Pacific Companies,2084610022.0,New Project,500 La Gonda Wy,DANVILLE,,,,,,,,N,,,,,
Vacaville USD New Central Kitchen - Lease/Lease Back,$ 5000000 - $ 9999999,JL Construction,SOLANO,2025-08-01,,Food/Beverage Service,Vacaville Unified School District,9167795935.0,New Project,542 Tulare Dr,VACAVILLE,7075275788.0,70 Stony Point Rd Ste D,Santa Rosa,Kyle Chamberlain,SONOMA,kylec@jlcbuild.com,Design-Bid-Build,Y,https://www.jlcbuild.com/,,,,
Fairgrounds Storm Drain Replacement,$ 591204,Ghilotti Construction Co.,MENDOCINO,2025-09-01,,Storm Sewer,City of Ukiah,7074636225.0,"Alterations, New Project",Various Locations,UKIAH,4152561525.0,2301 Kerner Blvd Ste E,San Rafael,,MARIN,info@ghilotti.com,Design-Bid-Build,N,http://www.ghilotti.com/,,,,
SFO Airport Recycled Water System Improvements D/B,$ 150000000,Walsh Construction,SAN MATEO,2025-11-01,,Water Treatment Plant,San Francisco International Airport,6504559031.0,New Project,780 S Airport Blvd,SAN FRANCISCO,9256271700.0,1390 Willow Pass Rd Ste 950,Concord,,CONTRA COSTA,mpetty@walshgroup.com,Design/Build,Y,https://www.walshgroup.com/,,,,
Lance Drive Apartments - Pool - Retail Phase 1,$ 90000000,Next Phase Construction Inc,SONOMA,2025-09-01,,Apartments/Condominiums 1-3 Stories,Pacific Development,4156028128.0,New Project,1601 Lance Dr,SANTA ROSA,9254124852.0,1676 N California Blvd,Walnut Creek,,CONTRA COSTA,,Design-Bid-Build,N,,REACH OUT,,,
DRSD WWTP Hypochlorite Building Rehabilitation,$ 7226200,,ALAMEDA,2025-09-01,,Sewage Treatment Plant,Dublin San Ramon Services District,9258752264.0,"Alterations, New Project",7399 Johnson Dr,PLEASANTON,,,,,,,Design-Bid-Build,Y,,,,,
Manteca City - Safe Routes to School Project,$ 3654700,,SAN JOAQUIN,2025-08-01,,Roadway Lighting,City Of Manteca,2094568000.0,"Alterations, New Project",955 E Edison St Various Locations,MANTECA,,,,,,,Design-Bid-Build,Y,,,,,
Monte Vista Elementary School After School Portable,$ 675400,"O'Rourke Electric, Inc.",SONOMA,2025-05-01,,Primary School,Cotati-Rohnert Park Unified School District,7077924737.0,"Alterations, New Project",1400 Magnolia Ave,ROHNERT PARK,7075288539.0,3347 Industrial Dr Ste 4,Santa Rosa,,SONOMA,dan@orourke-electric.com,Design-Bid-Build,Y,http://www.orourke-electric.com,,,,
2025 El Cerrito Access Modification,$ 622000,,CONTRA COSTA,2025-09-01,,Highway Signs/Guardrails,City of El Cerrito,5102154322.0,"Alterations, New Project",,El Cerrito,,,,,,,Design-Bid-Build,N,,,,,
Lucas Valley Road MP 8.02 Slope & Culvert Improvements,$ 559450,,MARIN,2025-09-01,,Site Development,Marin County Public Works Department,4154736574.0,"Alterations, New Project",Lucas Valley Road,SAN RAFAEL,,,,,,,Design-Bid-Build,N,,,,,
House,$ 1358262,,SANTA CLARA,,,Sale/Spec Homes,Reza Saidi,,New Project,18470 Sobey Rd,Saratoga,,,,,,,,,,,,,
House,$ 2058480,,SANTA CLARA,,,Sale/Spec Homes,Reddy Harikrishna M,,New Project,20758 Seaton Ave,Saratoga,,,,,,,,,,,,,
Manzanita Elementary School Cal Fire Implementation,$ 567500,,ALAMEDA,2025-05-01,2025-08-01,Site Development,Oakland Unified School District Facilities & Mgmt,5104591809.0,"Alterations, New Project",2409 E 27th St,OAKLAND,,,,,,,Design-Bid-Build,N,,,,,
RFQ/DB: Walters Middle School Replacement & New Gymnasium,$ 45000000 - $ 49000000,,ALAMEDA,2026-08-01,2027-11-01,Middle/Senior High School,Fremont Unified School District,5106572350.0,"Alterations, New Project",39600 Logan Dr,FREMONT,,,,,,,Design/Build,N,,,,,
House,$ 2393898,,SANTA CLARA,,,Sale/Spec Homes,Sacchetto Paolo Trustee,,New Project,16075 Cuvilly Way,Saratoga,,,,,,,,,,,,,
House,$ 1346502,,SANTA CLARA,,,Sale/Spec Homes,Reza Saidi,,New Project,18470 Sobey Rd,Saratoga,,,,,,,,,,,,,
House,$ 646872,,SANTA CLARA,,,Sale/Spec Homes,Sacchetto Paolo Trustee,,New Project,16075 Cuvilly Way,Saratoga,,,,,,,,,,,,,
House,$ 2646468,,SANTA CLARA,,,Sale/Spec Homes,Quito Oaks LLC,,New Project,18540 Quito Grove Ct,Saratoga,,,,,,,,,,,,,
House,$ 750000,,SAN FRANCISCO,,,Sale/Spec Homes,Chun Hung Const Co Inc,,New Project,8 Rondel Pl Lot # Lot 52,San Francisco,,,,,,,,,,,,,
House,$ 800000,,SONOMA,,,Sale/Spec Homes,Schellinger Brothers Lp,,New Project,6516 Old Redwood Hwy,Santa Rosa,,,,,,,,,,,,,
House,$ 502157,,SANTA CLARA,,,Sale/Spec Homes,Tjc Home Bldrs LLC,,New Project,568 View St,Mountain View,,,,,,,,,,,,,
Olive Avenue Pump Station Improvement,$ 3595102,,MARIN,2025-10-01,,Sewage Treatment Plant,Novato Sanitary District,4158921694.0,"Alterations, New Project",Olive Ave,NOVATO,,,,,,,Design-Bid-Build,Y,,,,,
Wiley W Manuel Courthouse UST Removal & AST Install,$ 2700000,,ALAMEDA,2025-10-01,2026-07-01,Storage Tank (Other),Alameda County,5102089770.0,"Alterations, New Project",661 Washington St,OAKLAND,,,,,,,Design-Bid-Build,N,,,,,
RFQ/GC: Modular Classrooms & Sitework - 3 Sites LEASE/LEASE,$ 3000000 - $ 4999999,,SANTA CLARA,,,Primary School,Union School District,4083778010.0,New Project,2421 Carlton Ave,SAN JOSE,,,,,,,Design-Bid-Build,N,,,,,
Campus at Bayside,$ 25000000 - $ 49999999,,ALAMEDA,2025-07-01,2026-05-01,Warehouse,"9th St Partners,LLC",3106208590.0,New Project,,Fremont,,,,,,,,N,,,,,
Cargo Building 720.1 and GSE Building 742,$ 25000000 - $ 49999999,Skanska USA Building Inc.,SAN MATEO,2024-08-01,,Freight Terminal,San Francisco International Airport,6504559031.0,New Project,,SAN FRANCISCO,6288956301.0,1 California St Ste 1400,San Francisco,,SAN FRANCISCO,gordon.childress@skanska.com,Design/Build,N,https://www.usa.skanska.com/,,,,
Union City At-Grade Pedestrian Crossing at BART REBID,$ 4200000,,ALAMEDA,2025-09-01,2026-03-01,Paving,City of Union City,5106755368.0,"Alterations, New Project",,UNION CITY,,,,,,,Design-Bid-Build,N,,,,,
Berkeley Moshav Mixed Use Development,$ 10000000 - $ 14999999,,ALAMEDA,2025-05-01,2027-02-01,Apartments/Condominiums 4  Stories,Urban Moshav,3033167568.0,New Project,2403 San Pablo Ave 2403 & 2407 San Pablo Ave,BERKELEY,,,,,,,,N,,,,,
1214 N Main Multi-Family Development,$ 10000000 - $ 14999999,,SAN JOAQUIN,2025-07-01,,Apartments/Condominiums 1-3 Stories,Bold Communities,6504641319.0,New Project,1214 N Main St,MANTECA,,,,,,,,N,,,,,
Affordable Housing Apartments at 34th & San Pablo,$ 10000000 - $ 14999999,,ALAMEDA,2026-01-01,2027-06-01,Apartments/Condominiums 4  Stories,,,New Project,3419 San Pablo Ave,OAKLAND,,,,,,,Owner Uses Own Forces,Y,,,,,
Union City - 2025 Sidewalk Curb & Gutter Replacement,$ 539954,,ALAMEDA,2025-09-01,,Sidewalk/Parking Lot,City of Union City,5104899468.0,"Alterations, New Project",,UNION CITY,,,,,,,Design-Bid-Build,N,,,,,
North Fair Oaks Area Lifeline Transportation Program Cycle 7,$ 1342680,,SAN MATEO,2025-09-01,,Paving,County of San Mateo,6503634100.0,"Alterations, New Project",,Redwood City,,,,,,,Design-Bid-Build,N,,,,,
2025 Cape Seal,$ 3689825,"Ghilotti Bros., Inc.",SOLANO,2025-09-01,,Paving,City of Vallejo,7076484315.0,"Alterations, New Project",Various Locations,VALLEJO,4154547011.0,525 Jacoby St,San Rafael,,MARIN,sarahk@gbi1914.com,Design-Bid-Build,N,http://www.ghilottibros.com,,,,
Wawona Street Bike & Pedestrian Improvement,$ 1516123,"George Reed, Inc.",SAN JOAQUIN,2025-09-01,,Paving,City of Manteca Public Works Department,2094568400.0,"Alterations, New Project",S Main St,MANTECA,2095230734.0,140 Empire Ave,Modesto,,STANISLAUS,estimating@georgereed.com,Design-Bid-Build,Y,http://www.georgereed.com,,,,
Los Robles Ronald McNair Academy Field Modernization,$ 3044000,,SAN MATEO,2025-09-01,2026-01-01,Park/Playground,Ravenswood City School District,6503292800.0,"Alterations, New Project",2033 Pulgas Ave,EAST PALO ALTO,,,,,,,Design-Bid-Build,Y,,,,,
San Carlos - 2025 Annual Street Resurfacing REBID IQC I IQC,$ 6146719,,SAN MATEO,2025-09-01,,Paving,City of San Carlos,6508024219.0,"Alterations, New Project",Devonshire Blvd Various Locations,SAN CARLOS,,,,,,,Design-Bid-Build,Y,,,,,
Bishop Ranch 1A Park (Heritage Park),$ 1000000 - $ 2999999,,CONTRA COSTA,2025-07-01,2025-12-01,Park/Playground,,,New Project,6141 Bollinger Canyon Rd,SAN RAMON,,,,,,,,N,,,,,
San Rafael - Canal Pipeline Replacement,$ 2188870,,MARIN,2025-09-01,,Water Line,Marin Municipal Water District,4159451529.0,"Alterations, New Project",Canal St,SAN RAFAEL,,,,,,,Design-Bid-Build,N,,,,,
Cherry Street Commons,$ 10000000 - $ 14999999,"Echelcon, Inc.",SAN MATEO,2025-05-01,2026-07-01,Apartments/Condominiums 1-3 Stories,Eden Housing Inc,5105821460.0,New Project,1232 Cherry St 1232 & 1244 Cherry St,SAN CARLOS,4086455158.0,945 W Julian St,San Jose,,SANTA CLARA,gustavoa@echelcon.com,,N,http://echelcon.com/,,,,
New Cal Beach Volleyball Complex REBID,$ 13200000,C. Overaa & Co.,ALAMEDA,2025-06-01,,Park/Playground,University of California Berkeley,6502233433.0,New Project,"UC Berkeley Campus Park, west side of Edwards Stadium",BERKELEY,5102340926.0,200 Parr Blvd,Richmond,,CONTRA COSTA,bids@overaa.com,Design-Bid-Build,N,http://www.overaa.com,,,,
Mountain View SB-1 Streets Improvements,$ 2700450,,SANTA CLARA,2025-09-01,,Paving,City of Mountain View,6509036311.0,"Alterations, New Project",Fay Way Various Locations,MOUNTAIN VIEW,,,,,,,Design-Bid-Build,Y,,,,,
San Joaquin Countywide Traffic Signal Equipment Upgrade,$ 1500000 - $ 1825000,,SAN JOAQUIN,2025-09-01,,Roadway Lighting,San Joaquin Co. Public Works,2099537450.0,"Alterations, New Project",Various Locations,STOCKTON,,,,,,,Design-Bid-Build,N,,,,,
Villa Sport Residential/Recreation Complex,$ 215000000,"Moorefield Construction, Inc.",SAN MATEO,2025-08-01,,Apartments/Condominiums 1-3 Stories,"VillaSports LLC/Syufi Properties, LLC",4154488300.0,New Project,557 E Bayshore Rd,REDWOOD CITY,9166147888.0,4080 Truxel Rd Ste 200,Sacramento,,SACRAMENTO,lam@moorefieldconstruction.com,Design-Bid-Build,Y,https://moorefieldconstruction.com/,,,,
Maude Avenue & Lakehaven Drive 2025 Pavement Rehabilitation,$ 2411250,Interstate Grading & Paving,SANTA CLARA,2025-09-01,,Paving,City Of Sunnyvale,4087307608.0,"Alterations, New Project",Maude Ave & Lakehaven Dr,SUNNYVALE,6509527333.0,128 S Maple Ave,South San Francisco,Bruce Caron,SAN MATEO,tina@igpinc.com,Design-Bid-Build,N,http://www.igpinc.com/,,,,
CA/DOT: Fiber Optic Cable System Ramp Metering Install,$ 93523406,,ALAMEDA,2025-09-01,,Communication Lines,State of California Department of Transportation,9166542852.0,"Additions, Alterations, New Project",Various locations,Oakland,,,,,,,Design-Bid-Build,Y,,,,,
NVWMA Facility Construction & Demolition REBID,$ 32000000,,NAPA,2025-10-01,,Office,Napa-Vallejo Waste Management Authority,7072991731.0,"Alterations, New Project",Devlin Rd,AMERICAN CANYON,,,,,,,Design-Bid-Build,Y,,,,,
Bart Police Department Headquarters D/B,$ 65000000,,ALAMEDA,2024-10-01,2026-11-01,Fire/Police Station,SF Bay Area Rapid Transit District (BART),5104646544.0,New Project,2000 Broadway,OAKLAND,,,,,,,Design/Build,Y,,FOLLOW UP,,,
Macadamia Access Roads Repair - Phase 1,$ 982425,,SAN MATEO,2025-09-01,,Site Development,Town of Hillsborough,6503757444.0,"Alterations, New Project",Macadamia Dr Skyfarm Dr,HILLSBOROUGH,,,,,,,Design-Bid-Build,N,,,,,
RFP/LLB: Washington Manor MS Classrooms Replacement,$ 17500000,,ALAMEDA,2026-03-01,,Middle/Senior High School,San Lorenzo Unified School District,5103174600.0,"Alterations, New Project",1170 Fargo Ave,SAN LEANDRO,,,,,,,Design-Bid-Build,N,,,,,
"Laundromat - Campbell, CA",$ 1000000 - $ 2999999,,SANTA CLARA,2025-06-01,,Retail (Other),,,New Project,841 W. Hamilton Ave,Campbell,,,,,,,Design-Bid-Build,Y,,,,,
Laguna Pump Station E Building Replacement,$ 1033361,,SONOMA,2025-09-01,,Sewage Treatment Plant,City of Santa Rosa,7075433858.0,"Alterations, New Project",4301 Llano Rd,SANTA ROSA,,,,,,,Design-Bid-Build,N,,,,,
Second Harvest Warehouse/Office HQ,$ 15000000 - $ 24999999,South Bay Development Company,SANTA CLARA,2025-09-01,2026-07-01,Warehouse,Second Harvest Food Bank of Santa Clara County,4082668866.0,New Project,4553 N First St 4653 N 1st St,SAN JOSE,4083790400.0,475 ALBERTO WAY STE 150,LOS GATOS,Mark Regoli,SANTA CLARA,,,N,http://www.southbay.us/,,,,
Bid Package 1 - Flooring Replacement & School Relocation,$ 2097000,,SAN MATEO,2025-06-01,,Miscellaneous Education Building,San Mateo-Foster City School District,6503127700.0,"Alterations, New Project",1001 Bermuda Dr 715A Indian Ave,San Mateo,,,,,,,Design-Bid-Build,Y,,,,,
Fire Protection Equipment Storage Rooms Additions,$ 850000 - $ 950000,,SANTA CLARA,2025-06-01,,Fire/Police Station,City of Mountain View,6509036329.0,New Project,251 S Shoreline Blvd,MOUNTAIN VIEW,,,,,,,Design-Bid-Build,Y,,,,,
Fire Station 4 Replacement REBID,$ 12000000,Gonsalves And Stronck Construction Co,SANTA CLARA,2025-10-01,,Fire/Police Station,City of Palo Alto Public Works,6503292716.0,New Project,3600 Middlefield Rd,PALO ALTO,6508022960.0,1000 Washington St,San Carlos,Lori Eldredge,SAN MATEO,lori.eldredge@gs-construction.com,Design-Bid-Build,N,http://www.gs-construction.com/,,,,
San Joaquin Del Webb Area 5 Improvements Ph 2,$ 1000000 - $ 2999999,,SAN JOAQUIN,2025-06-01,,Paving,Reclamation District #2062 (Stewart Tract),2098797900.0,New Project,Various locations,LATHROP,,,,,,,Design-Bid-Build,N,,,,,
San Miguel Portables & Shade Structure Project,$ 1000000 - $ 2999999,,SONOMA,2025-06-01,,Primary School,Mark West Union School District,7075242970.0,"Alterations, New Project",5350 Faught Rd,SANTA ROSA,,,,,,,Design-Bid-Build,Y,,,,,
Advance Skills Training Barracks,$ 25000000,,ALAMEDA,,,Military Facility,US Army Corps of Engineers,8086560978.0,New Project,,DUBLIN,,,,,,,Design/Build,Y,,,,,
"Residence Inn (Santa Clara, CA)",$ 1000000 - $ 2999999,,SANTA CLARA,2025-06-01,,Hotel/Motel,,,New Project,2900 Lakeside Dr.,Santa Clara,,,,,,,Design-Bid-Build,Y,,,,,
"Battery Lab - Newark, CA",$ 1000000 - $ 2999999,,ALAMEDA,2025-06-01,,Testing/Research/Development Lab,,,New Project,7373 Gateway Blvd,NEWARK,,,,,,,Design-Bid-Build,N,,,,,
The Hub at Berkeley,$ 50000000 - $ 75000000,"Build Group, Inc.",ALAMEDA,2025-10-01,,Apartments/Condominiums 4  Stories,Core Spaces,5122848601.0,New Project,2128 Oxford St 2132-2154 Center St.,BERKELEY,4153679399.0,160 S Van Ness Ave,San Francisco,,SAN FRANCISCO,bids@buildgc.com,Design-Bid-Build,N,http://www.buildgc.com,,,,
Matadero & Barron Creek Gas Main Replacement,$ 9390412,,SANTA CLARA,2025-09-01,2026-01-01,Fuel/Chemical Line,"East Palo Alto, City of",6503888921.0,"Alterations, New Project",Matadero Creek Various Locations,PALO ALTO,,,,,,,Design-Bid-Build,N,,,,,
Aeronautic Research Collaboration Rooms Upgrade,$ 1000000 - $ 2999999,,SANTA CLARA,2025-06-01,,Office,NASA Procurement Office,2286882346.0,"Alterations, New Project",NASA Aeronautics Research Institute Building 17,Mountain View,,,,,,,Design-Bid-Build,N,,,,,
Hearn Ave & Burbank Ave Traffic Signalization,$ 690070,,SONOMA,2025-09-01,,Roadway Lighting,City of Santa Rosa,7075433819.0,New Project,Burbank Ave & Hearn Ave,SANTA ROSA,,,,,,,Design-Bid-Build,N,,,,,
Eureka Canyon Road PM 8.11 and 8.39 Storm Damage Repair,$ 918017,"Northwest Demolition, Inc.",SANTA CRUZ,2025-09-01,,Storm Sewer,County of Santa Cruz,8314542580.0,"Alterations, New Project",Eureka Canyon Rd,WATSONVILLE,4159025050.0,719 38th Ave Apt 1,San Francisco,John Cumins,SAN FRANCISCO,abidrill@yahoo.com,Design-Bid-Build,N,http://nwdemoinc.com/,,,,
RFQ/DB: African American Wellness Hub,$ 16767000,,ALAMEDA,,,Athletic Facility,Alameda County,5102083990.0,New Project,1918 Martin Luther King Jr Way,OAKLAND,,,,,,,Design/Build,N,,,,,
St. Paul Terrace Apartments,$ 10000000 - $ 14999999,Nibbi Brothers General Contractors,ALAMEDA,2025-12-01,,Apartments/Condominiums 4  Stories,Community Housing Development Corp of N Richmond,5104129290.0,New Project,2024 Ashby Ave,BERKELEY,4158631820.0,1000 Brannan St Ste 102,San Francisco,Bob Nibbi,SAN FRANCISCO,bobn@nibbi.com,,N,http://www.nibbi.com,,,,
Cancer Support Community,$ 3000000 - $ 4999999,C. Overaa & Co.,CONTRA COSTA,2025-10-01,2026-07-01,Clinic/Medical Office,Cancer Support Community,9259330107.0,New Project,3939 Mt Diablo Ct,LAFAYETTE,5102340926.0,200 Parr Blvd,Richmond,,CONTRA COSTA,bids@overaa.com,,N,http://www.overaa.com,,,,
North San Pedro Park & Bassett Park Construction,$ 5545000,,SAN MATEO,2025-11-01,,Landscaping,City of San Jose,4085358300.0,"Alterations, New Project",600 Oddstad Blvd 510 Vineland Ave,PACIFICA,,,,,,,Design-Bid-Build,Y,,,,,
Lorenzo Manor ES Modernization Project - L/LB,$ 7871058,"Lewis & Tibbitts, Inc.",ALAMEDA,2025-09-01,2026-04-01,Pre-School,San Lorenzo Unified School District,5103174600.0,New Project,18250 Bengal Ave,HAYWARD,4089250220.0,1470 Industrial Ave,San Jose,Alan Bronner,SANTA CLARA,abronner@diglt.com,Design/Build,N,http://www.lewis-tibbitts.com,,,,
Berryessa Warehouse Building Replacement,$ 4787470,,SANTA CLARA,2025-09-01,2026-05-01,Warehouse,Berryessa Union School District,4089231871.0,New Project,945 Piedmont Rd,SAN JOSE,,,,,,,Design-Bid-Build,Y,,,,,
Santa Cruz City Schools Educator Housing,$ 60000000 - $ 80000000,,SANTA CRUZ,2025-10-01,,Apartments/Condominiums 4  Stories,Santa Cruz City Schools,8314293410.0,New Project,313 Swift St.,Santa Cruz,,,,,,,Construction Management at Risk,N,,,,,
2025 Citywide Accessible Pedestrian Ramp & Sidewalk Replace,$ 709800,Villalobos & Associates Inc,ALAMEDA,2025-09-01,2025-12-01,Sidewalk/Parking Lot,City of Newark,5105784452.0,"Alterations, New Project",Various Locations,NEWARK,4084261274.0,7810 Monterey St,Gilroy,,SANTA CLARA,evillalobosandassoc@gmail.com,Design-Bid-Build,N,,,,,
Serramonte North Quads Shell Building 710 & Site Improvement,$ 750000 - $ 2999999,,SAN MATEO,2025-10-01,,Regional Shopping Mall,Regency Centers,9252791811.0,New Project,"3 Serramonte Center, Daly City, CA 94015",DALY CITY,,,,,,,,Y,,,,,
Better Bikeway San Fernando Corridor REBID,$ 8522055,"Sposeto Engineering, Inc.",SANTA CLARA,2025-10-01,2026-05-01,Landscaping,City of San Jose,4085353500.0,"Alterations, New Project",San Fernando St,SAN JOSE,9254434200.0,4558 Contractors Pl,Livermore,,ALAMEDA,vinht@sposetoengineering.com,Design-Bid-Build,N,http://www.sposetoengineering.com/,FOLLOW UP  | PRIORITY | REACH OUT,,,
Travis AFB 400 Aircraft Parking Ramp Ph 5 & 8,$ 25000000 - $ 100000000,,SOLANO,2025-10-01,,Sidewalk/Parking Lot,Department of the Air Force - 772 Squadron,,"Alterations, New Project",,FAIRFIELD,,,,,,,Design-Bid-Build,Y,,,,,
Citywide Baseball Field Upgrades,$ 1222450,,SAN MATEO,2025-10-01,2025-10-01,Athletic Lighting,City of San Bruno,,"Alterations, New Project",567 El Camino Real Various Locations,SAN BRUNO,,,,,,,Design-Bid-Build,Y,,,,,
